,BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,Neighborhood,Latitude,Longitude,YearBuilt,LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse,TotalGHGEmissions,GFAPerBuilding,GFAPerFloor,GFABuildingRate
1991,NonResidential,Warehouse,1024-1048 6th Ave S,Avenue,98134.0,Greater Duwamish,47.59294,-122.32555,1937,Non-Refrigerated Warehouse,67.0,808968.1875,18.03,52325.0,52325.0,1.0
1994,NonResidential,Retail Store,646 S HOLGATE ST,Street,98134.0,Greater Duwamish,47.58698,-122.32397,1944,Retail Store,100.0,162960.0,1.14,25880.0,25880.0,1.0
1995,NonResidential,Warehouse,"Total Reclaim, Inc",Avenue,98134.0,Greater Duwamish,47.58336,-122.32525,1960,Non-Refrigerated Warehouse,99.0,819354.625,12.55,45842.0,45842.0,1.0
1998,NonResidential,Warehouse,Ingersoll Rand Building,Avenue,98134.0,Greater Duwamish,47.57895,-122.32551,1966,Non-Refrigerated Warehouse,20.0,1167887.75,40.85,20520.0,20520.0,1.0
1999,NonResidential,Warehouse,CF Resource,Avenue,98134.0,Greater Duwamish,47.57833,-122.32563,1945,Non-Refrigerated Warehouse,12.0,495481.0,3.45,22972.0,22972.0,1.0
2000,NonResidential,Warehouse,625 Building,Others,98134.0,Greater Duwamish,47.57934,-122.32501,1953,Non-Refrigerated Warehouse,80.0,523614.0938,8.7,24990.0,24990.0,1.0
2003,NonResidential,Distribution Center,FleetPride,Street,98108.0,Greater Duwamish,47.56758,-122.32638,1966,Distribution Center,10.0,735907.8125,17.29,24354.0,24354.0,1.0
2004,NonResidential,Distribution Center,Stusser Electric,Street,98108.0,Greater Duwamish,47.56823,-122.32506,1959,Distribution Center,58.0,847419.375,15.35,33600.0,33600.0,1.0
2008,NonResidential,Refrigerated Warehouse,820 South Adams Building: 820 South Adams Street,Street,98108.0,Greater Duwamish,47.5668,-122.32149,1957,Refrigerated Warehouse,100.0,1610794.75,59.0,25520.0,25520.0,1.0
2024,NonResidential,Small- and Mid-Sized Office,Willow Creek (Buildings 1 & 2),Way,98115.0,North,47.70008,-122.30321,1974,Office,87.0,920430.625,6.42,24291.0,12145.5,1.0
2025,NonResidential,Retail Store,Les Schwab Tire Center #396,Way,98115.0,North,47.70053,-122.3038,1958,Retail Store,44.0,526752.8125,3.67,20738.0,10369.0,1.0
2029,NonResidential,Medical Office,Pac Med Northgate,Avenue,98144.0,North,47.7044,-122.32285,1986,Medical Office,1.0,2654316.0,18.5,28385.0,14192.5,0.75142
2036,NonResidential,Small- and Mid-Sized Office,Ed Wyse Building,Avenue,98134.0,Greater Duwamish,47.57013,-122.3244,1983,Office,75.0,1139980.625,38.87,23143.0,23143.0,1.0
2037,NonResidential,Small- and Mid-Sized Office,Lamar Advertising Company,Avenue,98134.0,Greater Duwamish,47.57075,-122.32724,1962,Office,73.0,2107743.75,60.12,28800.0,28800.0,1.0
2038,NonResidential,Warehouse,Dutch Boy Building,Avenue,98134.0,Greater Duwamish,47.57294,-122.32811,1952,Non-Refrigerated Warehouse,85.0,405050.4063,2.82,39600.0,39600.0,1.0
2039,NonResidential,Warehouse,SB Warehouse,Avenue,98134.0,Greater Duwamish,47.57199,-122.32811,1952,Non-Refrigerated Warehouse,91.0,468396.9063,9.25,39600.0,39600.0,1.0
2040,NonResidential,Distribution Center,2900,Avenue,98134.0,Greater Duwamish,47.57747,-122.32844,1937,Distribution Center,37.0,1108310.875,16.5,41248.0,41248.0,1.0
2045,NonResidential,Worship Facility,West Side Presbyterian Church,Avenue,98116.0,Southwest,47.57177,-122.38716,1948,Worship Facility,75.0,1228113.5,43.64,35864.0,17932.0,1.0
2049,NonResidential,Worship Facility,St. George Parish,Avenue,98108.0,Greater Duwamish,47.55464,-122.31576,1954,Worship Facility,69.0,822636.625,38.38,20484.0,20484.0,1.0
2050,NonResidential,Medical Office,Springbrook Building,Way,98105.0,Northeast,47.66169,-122.28558,1984,Medical Office,4.0,1849331.25,12.89,45264.0,11316.0,0.61068
2054,NonResidential,Worship Facility,Phinney Ridge Lutheran Church,Avenue,98103.0,Northwest,47.68351,-122.35482,1951,Worship Facility,58.0,1195165.25,30.99,41600.0,20800.0,1.0
2056,NonResidential,Small- and Mid-Sized Office,Bonneville International,Avenue,98102.0,Lake Union,47.63567,-122.32522,1960,Office,31.0,2563985.5,17.87,34110.0,17055.0,1.0
2067,NonResidential,Warehouse,South Seattle Building,Avenue,98134.0,Greater Duwamish,47.57832,-122.32649,1970,Non-Refrigerated Warehouse,87.0,533742.8125,3.72,43390.0,43390.0,1.0
2068,NonResidential,Warehouse,WES 2233 LLC,Avenue,98134.0,Greater Duwamish,47.58238,-122.32719,1959,Non-Refrigerated Warehouse,84.0,419978.6875,9.29,35400.0,35400.0,1.0
2069,NonResidential,Distribution Center,Stoneway,Avenue,98104.0,Greater Duwamish,47.58517,-122.32853,1966,Distribution Center,19.0,858701.0,8.22,28144.0,28144.0,1.0
2070,NonResidential,Warehouse,Pacific Coast Feather Corporate Office and Warehouse,Avenue,98199.0,Greater Duwamish,47.5842,-122.32826,1916,Non-Refrigerated Warehouse,41.0,2491238.25,43.17,71283.0,23761.0,1.0
2072,NonResidential,Small- and Mid-Sized Office,1550 4th Ave S,Avenue,98134.0,Greater Duwamish,47.58895,-122.32833,1979,Office,99.0,1042652.625,7.27,47368.0,23684.0,1.0
2074,NonResidential,Small- and Mid-Sized Office,Jefferson Building,Street,98122.0,Central,47.60592,-122.31367,1984,Office,84.0,2602213.75,41.96,72613.0,14522.6,0.68617
2077,SPS-District K-12,K-12 School,Hawthorne Elementary,Avenue,98118.0,Southeast,47.56591,-122.28339,1989,K-12 School,97.0,1436510.375,20.3,51672.0,17224.0,1.0
